start,end,text
6.891,17.529,"Thank you very much for the opportunity to present. If we can pull up the video, please."
18.029,28.495,"So as mentioned in somewhat of a long title, we'll be presenting a case of robotic pouch gastrectomy with esophageal jejunosomy for a failed Roux-en-Y using fluorescent angiography."
28.936,44.796,"So our patient's a forty-nine-year-old male. He, fifteen years prior, had had a Nissen fundoplication for reflux with a collis gastroplasty. This had failed a few years afterwards and it was converted to Roux-en-Y gastric bypass. Both of these procedures were done at an outside facility."
45.296,60.04,"He had presented to our facility with ongoing dysphagia, poor PO tolerance, and so we worked him up further for revisional bariatric surgery. Our workup showed a stricture at the gastroesophageal junction, which had recurred after multiple endoscopic dilations."
60.54,82.43,The endoscopic view reveals severe esophagitis and dilation in the lower third of the esophagus. An esophagram shows a stricture at the gastroesophageal junction with minimal contrast passing through the narrowed area.
82.93,102.003,"The surgeon begins the procedure by addressing dense adhesions in the abdominal cavity, resembling the texture of bubble gum. The Roux-en-Y gastric bypass was performed in a retrogastric, retrocolic manner, and the initial step involves taking down the gastric remnant to access the right crus."
102.483,125.695,"The surgeon navigates the plane between the liver and the inferior vena cava (IVC) to locate the right crus. Once identified, the surgeon proceeds with precise dissection to ensure adequate esophageal length within the abdominal cavity."
126.175,138.508,"The surgeon proceeds to the left side of the gastric remnant, identifying the roux limb marked by staples, and continues the dissection to locate the left crus."
139.008,153.966,"The surgeon continues with anterior mediastinal dissection after locating the left cruz, encountering sutures from a previous hiatal closure that need to be removed."
154.466,165.493,"Part of the problem that this patient had is that after his conversion to Lu and Y, the Nissen fundoplication was not taken down. And so that's something else we're gonna take down as well."
165.713,196.573,"The surgeon continues anterior mediastinal dissection to clear esophageal length, then moves posteriorly for additional length. Sutures from previous procedures are being removed. A surgical drain is visible around the esophagus for retraction due to the patient's latex allergy."
197.073,227.508,"The surgeon uses robotic scissors to perform a combination of sharp and blunt dissection, carefully following tissue planes that are difficult to identify. The blunt dissection visibly opens up the tissue planes, revealing anatomical structures."
228.008,264.352,"The surgeon uses fluorescent angiography with ICG to assess perfusion during the stapling of the proximal esophagus, confirming good perfusion visually. The distal part shows less perfusion under fluorescent light, which is not as apparent under white light."
264.852,280.382,"The surgeon marks the transection line with a silk suture, which is also tagged to the diaphragm for positioning within the abdomen. A hands-on anastomosis is performed using absorbable monofilament sutures in two layers."
280.882,333.668,"The surgeon performs the anastomosis over a fifty French bougie, taking big, full-thickness bites to ensure adequate tissue purchase. The bougie helps maintain the esophagus's diameter and position within the abdomen during manipulation."
334.168,372.889,"And anyone that works with the robot knows the dexterity, the bimanual dexterity available or possible with the robot is pretty clear. And it's especially beneficial in these more difficult cases."
373.389,383.933,"The surgeon confirms adequate perfusion of the proximal esophagus using indocyanine green (ICG) fluorescent angiography, showing well-perfused tissue sitting nicely within the abdomen."
384.433,403.845,"The postoperative esophagram shows prompt passage of contrast through the anastomosis, indicating successful surgical outcome."
404.345,404.587,Thank you.
