start,end,text
10.409,18.472,"Hello, this is a case of eye palm technique of laparoscopic hernia repair. This is a irreducible hernia."
18.492,28.117,"The surgeon observes that the hernia is adhered to the omentum and the anterior abdominal wall, with visible adhesions present at the hernia ring."
28.617,31.158,"An assistant aids in reducing the irreducible hernia, working to free it from adhesions with the omentum and anterior abdominal wall."
31.658,42.092,"The surgeon cuts a portion of the medial umbilical ligament on the left side, creating additional access to the omentum adhered in the area."
42.592,46.835,This is an eye pump technique of inguinal hernia. This is my personal technique.
47.335,52.018,I will not recommend you to do anyone who has no experience of doing this.
52.518,60.203,"The surgeon fixes the Vipro II mesh in place and sutures it to the peritoneum along the inferior edge, completing the mesh placement in the hernia repair procedure."
60.703,65.706,So far we have performed thirty five cases with the inguinal hernia eye pump technique.
66.206,84.323,Initially we were performing with the fibrin glue with using the absorbable suture and absorbable tackers and then spraying the fibrin glue but after that we have stopped using the fibrin glue because of the cost factor and it may not be that much strong as the suturing.
84.823,92.914,So there are many criticisms of this technique but in our evidence based surgery we have found a very good result.
93.414,99.402,"There is no need of dissection of the triangle of dome, triangle of pain. There is no need of removal of the sac."
99.522,107.406,The surgeon places the Vipro II mesh directly over the hernia site and secures it using sutures and a tacker.
107.786,122.071,"An assistant pushes the omentum from above, gradually repositioning all irreducible omental content back into the abdominal cavity."
122.571,142.208,"The surgical field shows no further adhesiolysis being performed in the area, indicating that the surgeon has completed this step of the procedure."
142.708,154.954,"The surgeon completes the separation of the omentum from the abdominal cavity, ensuring the omentum is fully repositioned within the abdomen."
155.454,162.478,"The surgeon pushes the omentum towards the upper abdomen, revealing the head of the hernia defect."
162.838,171.162,"The surgeon introduces the telescope to visualize the left side indirect complete inguinal hernia, revealing the hernia sac protruding through the inguinal canal."
171.662,183.553,"The surgeon introduces a Vipro-II mesh into the surgical field, spreading it over the anterior abdominal wall, covering areas including the triangle of doom, triangle of pain, and trapezoid of disaster."
184.034,196.005,Care should be taken that mesh should must project six centimeter all beyond the margin of the defect so that it will cover the entire area and principle of this surgery is same as we do the ventral hernia.
196.505,219.838,"The surgeon secures the outer edge of the Vipro-II mesh using absorbable tackers, positioned laterally to avoid capturing the lateral femoral cutaneous nerve (LFCN) or genitofemoral nerve (GFN), minimizing postoperative pain. The mesh is anchored over the arc of the transversus abdominis muscle, with plans to proceed to the inner crowning."
220.338,226.74,"The Y-Pro-II mesh is visible, showing its construction with internal vicryl fibers and external proline fibers."
227.24,232.382,"The surgeon identifies the Cooper ligament during the hernia repair procedure, ensuring no adhesions are formed in the surrounding area."
232.442,240.845,"The surgeon secures the inferior medial end of the Vipro-II mesh over the Cooper ligament using an absorbent tacker, which is felt as a hard structure by the tip of the tacker."
241.345,269.236,"The surgeon positions the mesh over the anterior abdominal wall, targeting the rectus abdominis muscle for fixation. Care is taken to avoid firing the tacker directly into the bladder, ensuring placement medial or lateral to the medial umbilical ligament."
269.736,298.585,"The surgeon uses the eye pump technique for inguinal hernia repair, firing absorbable tackers above the inguinal ligament and medially over the medial umbilical ligament onto the rectus abdominis muscle."
299.085,305.729,"The surgeon avoids firing the mesh inferiorly due to the presence of anatomical landmarks known as the trapezoid of disaster, triangle of doom, and triangle of pain."
306.229,317.554,Initially if you will not fix it there may be incarceration and momentum and the bubble can enter in between the space of the vibratory tube mesh and the anterior wall.
317.554,326.912,So that's why we will suture it.
327.412,347.728,"The surgeon demonstrates the outer crowning of the mesh, positioning it over the anterior abdominal wall during the hernia repair procedure."
348.228,356.238,"The surgeon performs the inner crowning over and above the inguinal ligament, focusing on the precise placement of the mesh in relation to the anatomical landmarks."
356.738,373.276,"The surgeon uses tackers to secure the inner crowning of the mesh, ensuring it covers approximately six centimeters from the healthy margin of the hernia defect."
373.776,398.617,"The surgeon carefully places a suture at the inferior margin, ensuring it only holds the peritoneum without involving nearby vessels or the ureter. A Dundee jamming knot with a pre-tied loop is used, which locks automatically upon pulling."
399.117,407.763,"The surgeon begins a starter knot to secure the inferior edge of the mesh to the underlying tissue, ensuring the mesh is properly anchored."
408.263,432.404,"The surgeon continues suturing at one-centimeter intervals, carefully pulling the peritoneum superficially and taking bites with at least a one-centimeter margin, avoiding deeper penetration to protect underlying structures."
432.904,459.588,"The surgeon locks each suture, ensuring the mesh is securely moughing the margin, similar to tailoring cloth edges. This technique prevents any space through which the omentum or bowel could incarcerate, promoting fibrosis and adhesion of the mesh over time."
460.088,490.238,"The surgeon carefully passes the needle parallel to the peritoneum, taking bites and locking the suture while avoiding the nearby iliac vein, internal iliac artery, external iliac vein, and external iliac artery."
490.738,512.118,in this case absolutely there will be no any blood loss there is no any dissection problem there is no any need of removal of the sac in our case we have followed up to two to three years also there was no any hydrosil formation or no any other recurrence fistulization and seroma also doesn't form and then slowly
512.618,527.515,"The surgeon pulls the peritoneum towards themselves to distance it from the vessels, allowing for the safe muffing of the inferior surface of the mesh, ensuring it covers the entire vessel."
527.555,534.255,"The surgeon ensures that the mesh is positioned such that no structures are visible anterior to it, indicating complete coverage and secure placement over the surgical site."
534.755,549.003,"The external iliac artery is visible, and the surgeon pulls the peritoneum. On the left side, the sigmoid colon may require additional manipulation if it is not positioned cooperatively."
549.143,561.552,"The surgeon mobilizes the sigmoid colon, ensuring that the internal needle passes through the suture at least one centimeter deep to secure the peritoneum."
561.932,574.336,"The surgeon uses sutures to secure the peritoneum, ensuring it is both tucked and traversed by the suture. The process of muffing continues, with each step being locked securely."
574.836,599.491,"So in our practice we have seen that it is fixing the mess much better than the fibrin glue because fibrin glue is just adhering it to the momentum. IPOM technique of inguinal hernia is already reported in literature, but this technique of suturing the inferior border of the mesh has not anybody has tried. And this is the first time we have experimentally started."
599.851,602.895,So that's why I will not suggest anyone
603.395,663.917,who has no practice of this type of suturing to continue because if accidentally the iliac vessel is punctured then there is chances of severe bleeding and that will create some of the big complication here it is again passed through the loop so that external muffing will give you the two two layers of the suture to give you the pressure over the mesh and it will keep the mesh completely stick with the plutonium so this is a double muffing technique and then you can continue it so this is pressing the entire mass in the position and again it will be continued
664.417,693.713,Patient in this case after surgery we give some pressure over the deep ring for two days with the elastic adhesive after putting some sponge so that it will support and there will be no shiroma formation and in those situation we make the patient immediately mobile after surgery so there is no chances of adhesion also.
694.213,747.086,surgery is finished in these cases very quickly because you don't have to dissect the sac as we know that ventral hernia by eye pump technique is a established procedure but in urinal hernia only inhibition was that we cannot fire the attacker in this area so how to do that but this muffing of the vicryl is very good because by the time the vicryl get absorbed the mesh is already and in the vipro two mesh it is a mega pore mesh and bigger opening of this mesh has the advantage that it will do the petronization very fast transmigration and metamorphosis of the petronium through this hole of the mesh will cover the mesh immediately and now this is the aberrant termination because already we have the tacker now so it is not necessary to continue the suture and it is loop within loop and you can do aberrant termination
747.586,765.088,"The surgeon takes a deep bite in a safe area without muscle, using a loop within loop technique to secure the suture and extract the needle."
765.588,778.18,Left side of hernia is little difficult because for the right handed people but right side with the eye pump technique is extremely easy. You can finish the surgery within ten to twelve minutes itself.
778.68,801.779,"The surgeon demonstrates the loop within loop technique by pulling the non-needle end to lock the suture in place, securing the mesh during hernia repair."
802.279,821.539,"The surgeon demonstrates the technique of creating a double lock by pulling the non-needle end of the suture, ensuring the needle remains away from the loop within loop configuration."
822.039,836.358,"The surgeon passes the needle through the loop to perform an abutting termination, similar to techniques used in open surgery to close the peritoneum or rectus. The excess suture is cut, and the needle is removed from the surgical field."
836.858,850.345,So thank you very much for watching this video. This was my personal technique of doing the eye palm. Although it is experimental surgery but till now we have a very encouraging result of this procedure. Thank you very much.
