start,end,text
5.589,14.074,This video presents the case of a surgical procedure performed in a sixteen years old girl presenting with a huge mass in the tail of pancreas.
14.574,16.955,The patient complained of abdominal pain.
17.455,25.5,The CT scan demonstrated a ten centimeter lesion including both solid and cystic areas and calcification.
26,27.541,Tumor markers were normal.
28.041,35.216,Preoperative diagnosis was solid.
35.716,37.257,or vein was not observed.
37.757,47.442,"Considering the radiologic findings, a spleen-preserving distal pyogradectomy is decided."
47.942,51.364,"The surgeon visually identifies the tumor located behind the greater omentum, revealing its position relative to surrounding anatomical structures."
51.384,90.375,"The surgeon divides the gastrocolic ligament, separating it from the surrounding structures to gain access to the surgical field."
90.875,147.821,"The surgeon divides adhesions between the posterior gastric wall and the pancreas, separating these structures to improve access for the splenectomy procedure."
148.321,177.966,"The surgeon divides the inferior and posterior attachments of the pancreas, with hue coloring highlighting the anatomical structures during the procedure."
178.466,222.517,"The surgeon exposes the splenic vein, revealing its location and orientation relative to surrounding anatomical structures."
223.017,267.437,who colorizes.
267.937,309.511,"The surgeon isolates the splenic artery and vein, separating them from surrounding tissues to prepare for ligation and division."
310.011,325.999,"The surgeon transects the pancreas with a tumor-free margin using a 60mm green cartridge and a GIS stapler, ensuring precise separation of the pancreatic tissue."
326.499,344.588,"The surgeon isolates veins connecting the pancreas to the splenic vein, carefully separating these vessels from surrounding tissue."
345.088,387.506,"The surgeon divides the exposed splenic vein, completing the separation from surrounding tissues."
388.006,403.217,The surgeon places the excised specimen into an endo bag and removes it through a Pfannenstiel incision.
403.717,405.498,"The surgeon places a Jackson-Pratt drain in the surgical site, ensuring proper drainage post-splenectomy."
