start,end,text
0.898,12.984,"The surgeon performs a left middle lobectomy on a patient with situs inversus totalis, indicating the anatomical structures are mirrored from their usual positions."
13.484,22.229,"The surgeon observes the long and narrow structure of the middle lobe bronchus, noting the lobar isolation of the middle lobe which results in inadequate collateral ventilation."
22.663,33.807,"Patients who have repeated episodes of infection with lobar collapse and evidence of bronchocytosis, tumor or obstruction from a large lymph node can be defined as middle lobe syndrome."
34.268,39.95,Treatment of this pathology is surgical resection.
40.45,46.673,Chest CT of the patient is compatible with middle lobe syndrome.
47.173,80.03,"The surgeon isolates the middle lobe of the lung, separating it from the adjacent upper and lower lobes, preparing for resection."
80.53,100.08,"The surgeon opens the anterior mediastinal pleura and begins dissection of the superior pulmonary vein, exposing the vein's structure within the surgical field."
100.58,123.734,"The surgeon isolates the middle lobe vein, carefully separating it from surrounding structures within the thoracic cavity."
124.234,142.011,"The surgeon performs dissection of the fissure between the pulmonary lobes, carefully separating the tissue planes to facilitate lobectomy."
142.511,166.664,"The surgeon carefully dissects the lymph node that is compressing the middle lobe bronchus, revealing its position relative to the bronchial structure."
167.164,170.745,"The surgeon performs dissection of the middle lobe bronchus, carefully separating it from surrounding tissues."
171.245,188.789,"The surgeon uses conventional Watts instruments to encircle the middle lobe bronchus, preparing it for further manipulation or division."
189.289,209.11,"The surgeon performs dissection of the middle lobe artery, carefully isolating it from surrounding tissues within the surgical field."
209.61,228.085,"The surgeon encircles the middle lobe artery and places hemoclips on it, securing the vessel within the surgical field."
228.585,242.732,"The surgeon uses scissors to divide the middle lobe artery, completing the separation of this vessel from surrounding structures."
243.232,273.227,Stay think of the middle of bronchus.
273.727,306.183,competition of the Lubbeck-Kamil with multiple stepping fires.
306.683,313.556,"A postoperative chest X-ray image of the patient is displayed, showing the thoracic cavity and lung fields following the pulmonary lobectomy procedure."
314.056,315.719,Thank you very much for your attention.
